# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,DGF0001,DGF0005,DGF0006,DGF0008,DGF0011,DGF0012,DGF0013,DGF0018,DGF0022,DGF0023,DGF0027,DGF0028,DGF0032,DGF0034,DGF0036,DGF0037,DGF0040,DGF0042,DGF0045,DGF0048,DGF0050,DGF0052,DGF0058,DGF0059,DGF0062,DGF0063,DGF0064,DGF0065,DGF0070,DGF0075,DGF0076,DGF0082,DGF0085,DGF0088,DGF0092,DGF0102,DGF0103,DGF0104,DGF0110,DGF0112,DGF0113,DGF0116,DGF0117,DGF0119,DGF0120,DGF0128,DGF0132,DGF0134,DGF0137,DGF0138,DGF0143,DGF0148,DGF0150,DGF0153,DGF0155,DGF0156,DGF0157,DGF0160,DGF0163,DGF0170,DGF0171,DGF0172,DGF0173,DGF0177,DGF0179,DGF0181,DGF0190,DGF0191,DGF0194,DGF0196,DGF0198,DGF0199,DGF0201,DGF0205,DGF0214,DGF0217
d2a4add6029e32135562e2da9d4ed2e1,0,0,349,6995,0,862,9712,64,93,846,212,621,423,231,0,0,3480,0,0,3292,0,0,11021,492,6,0,4,301186,0,0,0,0,0,0,6623,52,25,0,0,26,1448,45,0,0,26,0,25,44,2289,0,0,2432,0,464,47,0,54134,0,0,25,0,0,0,8363,2280,29,154,0,0,19217,0,94,0,432,853,1178
f347c63fc5e4aeb97531e656e3765e2a,5812,3226,0,4920,0,19,0,0,0,2112,0,17023,37,73308,0,6532,13325,0,262,218,15,0,18,15,0,1857,46,0,0,0,0,9,0,0,0,3511,103,67148,2233,10172,0,0,6135,84,0,597,0,11134,2790,6386,3514,0,87,53,0,4454,71,2522,8846,72380,14681,1784,6795,26,0,8,1072,280,591,0,29,14539,0,1725,0,0
eb060442da7f07ded07850d6987b581b,6,22408,1367,0,0,180,106,334,28752,2350,0,0,5821,0,17,7,10,18865,0,0,95,10138,0,0,0,0,0,22,14477,66212,87905,23089,11787,16,0,0,0,0,30,0,1510,10124,0,0,0,18512,31,0,0,0,0,12533,5,4,0,0,451,0,0,0,0,0,0,0,210,34627,0,0,93,23,0,0,5,0,0,5
12cb376c08ad79b892ffcdf4a82d9eca,0,460,523,19,0,3689,691,3377,166888,0,0,0,306,0,2063,13,0,0,0,0,128076,3980,0,245,0,12232,0,0,21662,7199,459,804,1446,0,286,0,0,0,33,0,0,478,52,297,0,108,0,0,0,0,0,225,24,0,0,0,167,0,0,0,0,0,7,0,0,9725,0,0,55,0,0,0,0,0,0,0
20f3791a07f97565c122882f75a980c1,47714,0,588,1993,10,0,0,0,0,0,84930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,35,0,0,0,611,0,0,27467,0,0,0,0,16,0,0,0,0,0,0,18006,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,103663,0,0,812,0,0
0b8e54159eb8f8403d33d655e77ad2d0,0,23402,776,47,0,10945,3525,6723,10614,9635,0,0,19688,0,0,0,0,217,0,0,4685,4341,388,0,0,0,0,1087,264,1219,5731,1374,0,14,180,0,0,0,73,0,48308,69,27,26,0,16805,513,0,0,0,9,5623,0,0,0,0,35142,0,0,0,0,0,0,0,4944,37612,14,0,0,0,0,104,0,0,0,0
96e15ad75ac57dfa50ad2ba060527940,0,0,148,0,0,0,0,0,6873,0,25443,0,0,810,0,83748,0,0,0,0,0,0,901,0,0,197,0,0,0,0,0,244,89,0,0,7133,0,0,0,171,0,0,0,24,19452,0,0,15426,0,324,0,0,0,0,0,0,0,0,1918,0,0,0,0,0,0,14850,0,0,0,37407,484,177,0,0,23,0
c1ddce96df5f2a3d13d1afa52473e7a8,0,0,0,59,8151,13,0,0,0,0,0,169,0,631,0,66,110,0,0,0,0,0,445,0,0,16,0,0,9,0,0,0,0,0,0,0,0,0,1047,121193,0,54,0,46265,0,650,2523,784,54,317,3322,0,0,0,493,0,601,28,0,21810,0,0,214,0,0,49,0,0,1096,0,0,232,0,0,0,0
59821bee852f9f217200b4af96d373e4,30,0,0,61,238,0,21,0,0,142,0,1737,0,15094,0,0,3462,6,9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,20,6,262,12,241,0,0,0,0,1110,68978,0,40,0,0,0,0,0,9905,0,0,0,0,0,0,0,0,565,0,0,885,0,10310,15860,0,544,0,26462,0,19618
afa8c5e70ff54c601b1e50c792daf2fe,10158,91,0,1933,3505,0,0,0,0,292,0,3175,22,113,20,5338,637,0,209,0,0,0,0,0,4136,399,19,0,0,0,0,11,0,0,0,533,0,2073,36,2470,47,0,844,0,25023,475,0,62,470,2153,1264,0,259,97,18898,1122,0,418,818,33788,653,12278,12410,0,0,0,244,121,2599,0,418,644,0,0,443,725
8e10797dedc288dbc0be61fe4b5a5dfb,1691,517,0,4561,1756,6,0,11,0,321,0,1779,41,7586,0,7926,3701,0,81,52,0,0,7,57,0,1257,34,0,0,0,6,0,0,0,13,932,0,3242,2061,2720,223,0,859,899,6726,1312,4868,21,894,2538,342,0,184,10788,11916,457,33,447,922,28493,165,12570,4464,33,0,0,179,191,883,0,67,6597,0,527,0,4610
cb6a7654c13b3e306cee48be0dc5e90b,0,0,0,2003,0,0,0,5,7,33,0,0,0,0,0,50064,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,196,0,1969,570,0,0,0,468,37,0,474,0,0,0,17961,0,0,0,0,0,16,0,853,0,0,4121,3439,10433,0,0,6,5428,19233,0,0,0,13612,0,11078,0,0
a9428f7c930e2d1d2bf7fbb856456205,0,117,0,0,0,0,0,0,1064,95,0,0,0,0,0,0,0,18477,15965,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77306,20959
c6578f4d0cfec5f51ab0035c279bd6d8,69,198,0,438,558,0,0,0,0,600,0,12845,0,8972,0,491,76369,0,6,894,0,0,0,0,6922,28,0,0,0,0,0,0,0,0,20,1209,772,23,293,6814,111,0,0,0,0,11,5,46,453,59,7869,0,0,41,0,267,25,1074,73,1147,0,0,61,0,0,0,2973,0,31,0,9,1155,0,11,0,0
b3adcf63239dbd5f8e68ee561a8b43a6,4249,266,33,2431,361,0,26,0,0,412,0,833,0,1523,0,2274,386,0,0,6279,112,8,0,0,5398,259,14,17,0,0,0,0,0,0,0,471,180,1946,1657,191,244,0,211,50,1937,84,6879,152,455,1606,1488,0,30,48,257,125,25,833,221,24245,1169,446,1423,5161,0,0,641,151,57,6197,87,396,35055,1572,1794,3317
c95f6c55b0396f129903aa9126353a51,0,0,0,0,0,16927,37878,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,122,0,2781,0,0,0,10446,0,0,0,0,0,0,0,0,0,0,10,0,786,0,7221,0,0,19284,0,0,0,0,0,13397,0,0,0,0,244,0,0,0,0,0,0,0,3720,6493,0,0,0,0,0,0,0,0,0,0
b0f55750327a28fe7fa2d0938f55013f,0,0,299,0,0,381,31,808,277,164,0,0,159,0,0,0,0,0,0,0,298,68,297,0,0,0,0,4701,0,221,4195,725,0,3097,0,0,0,0,0,0,49005,0,47,0,0,417,441,0,0,0,0,14821,159,0,0,0,0,0,0,0,0,0,0,0,7786,28517,0,0,0,0,0,0,0,0,0,0
c8a09eafbecf08d9e3697e9e9e46bb29,8565,45,0,5283,2677,0,0,0,0,158,72,1944,14,34611,0,2305,3244,0,0,208,0,0,0,0,7581,149,0,0,0,0,11,0,0,0,0,312,113,4525,525,1254,74,0,1105,0,973,116,3312,200,594,3772,1012,0,28,97,5781,331,38,444,565,3206,274,744,942,7569,0,0,894,135,741,1488,114,1063,0,82,155,5624
edd7b8bd5b4e1cd2ed33c3049f7dcdda,0,18618,567,0,0,0,0,875,446,0,0,0,0,0,0,0,0,0,697,0,0,330,0,0,0,0,0,0,0,3675,144,62902,348,0,81,0,0,0,0,0,128,0,0,0,0,8627,0,0,0,0,0,1767,0,0,0,0,11087,0,0,0,0,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0
